REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2021,SunCoke Energy Middletown Operations,1006159,3353 Yankee Road,39.47215,-84.39693,Middletown,BUTLER COUNTY,OH,45044,SUNCOKE ENERGY INC (100%),398972,"C,Q"
2021,"Sundance Energy, Inc. - South Texas Basin",1013023,"1155 DAIRY ASHFORD, STE. 206",29.7815360661693,-95.6080157026674,HOUSTON,,TX,77079,SUNDANCE ENERGY INC (100%),136044,W
2021,Sundance Power Plant,1000237,2060 SUNDANCE ROAD,32.9285,-111.5899,CASA GRANDE,Pinal,AZ,85228,PINNACLE WEST CAPITAL CORP (100%),206864,D
2021,Sunray Compressor Station,1001670,7174 FM119,35.97531,-101.82886,Sunray,MOORE COUNTY,TX,79086,BERKSHIRE HATHAWAY INC (100%),19584,"C,W"
2021,Sunray Gas Plant,1003221,11571 Texas Beef Road,35.962968,-101.81107,Sunray,MOORE COUNTY,TX,79086,ENERGY TRANSFER LP (100%),96726,"C,W"
2021,Sunrise Power Company,1000102,12857 SUNRISE ROAD,35.2097,-119.585,FELLOWS,Kern,CA,93224,ARCLIGHT CAPITAL HOLDINGS LLC (100%),1020350,D
2021,"Superior Appalachian Pipeline, LLC. Basin 160A  Appalachian Eastern Overthrust  GB",1012538,SAP 1000 Town Center Way - Ste 120,40.27724,-80.16623,Cannonsburg,WASHINGTON COUNTY,PA,15317,UNIT CORP (100%),53638,W
2021,Superior Forge & Steel Corporation,1011726,1820 McClain Rd.,40.71044,-84.10831,Lima,ALLEN COUNTY,OH,45804,SUPERIOR FORGE & STEEL CORP (100%),22327,"C,Q"
2021,Superior Pipeline Company - Reeding Plant,1013693,26512 E0860 Rd,35.76936,-97.69185,Cashion,KINGFISHER COUNTY,OK,73016,UNIT CORP (100%),54434,"C,W"
2021,"Superior Pipeline Company, LLC - Basin 355 - Chautauqua Platform - GB",1012709,PO Box 702500,36.1711499588626,-95.9432417713586,Tulsa,,OK,74170,UNIT CORP (100%),63267,W
